location,size,total_sqft,bath,price
Anekal,3 BHK,967,2,45
Hebbal,4 BHK,2470,4,203
Maruthi Nagar,2 BHK,850,1,35.5
Vidhyanagar Cross,2 BHK,1100,2,32
Thanisandra,3 BHK,1697,3,110
Varthur,2 BHK,1250,2,47
Gottigere,2 BHK,1120,2,50
NRI Layout,4 Bedroom,1200,4,95
Hennur Road,5 Bedroom,5100,6,375
7th Block Jayanagar,4 Bedroom,2400,3,480
Hebbal,2 BHK,1200,2,52
7th Phase JP Nagar,2 BHK,1100,2,44
 Devarachikkanahalli,3 BHK,1417,2,76
Thanisandra,3 BHK,1492,3,88
Devanahalli,3 BHK,1498,3,79.15
Bellari Road,4 BHK,3500,2,350
Kundalahalli,2 BHK,1010,2,48.27
Hennur,2 BHK,1255,2,53.5
Channasandra,2 BHK,1050,2,35
Hegde Nagar,3 BHK,1847,3,125
1st Stage Indira Nagar,2 BHK,1200,2,55
Bellandur,2 BHK,982,2,37.28
Hegde Nagar,3 BHK,2144.6,4,145
Kengeri,2 BHK,750,2,36.5
Electronic City,2 BHK,919,2,35
Budigere,2 BHK,1087,2,54.3
Sunder Ram Shetty Nagar,3 BHK,1480,3,74
Tindlu,2 BHK,1180,2,52
6th Block Jayanagar,3 BHK,2100,4,255
Jigani,3 BHK,1221,3,65
Haralur Road,2 BHK,1194,2,46
Thanisandra,3 BHK,2072,3,122
Whitefield,3 BHK,1600,3,69
Sahakara Nagar,3 BHK,2200,3,98
Rajaji Nagar,3 BHK,1640,3,220
Kaikondrahalli,2 BHK,1253,2,81.5
Hennur Road,2 BHK,1061,2,54.92
Marathahalli,3 BHK,1950,3,115
Marathahalli,2 BHK,1250,2,68
Hennur Road,3 BHK,1585,2,80
Kanakpura Road,3 BHK,1452,3,60.98
Kammasandra,2 BHK,1015,2,37
Begur Road,4 BHK,2462 - 2467,6,118
Marathahalli,2 BHK,1125,2,56.8
Electronic City Phase II,2 BHK,1116,2,40
Kadarenahalli,1 Bedroom,400,1,35
Kasavanhalli,4 BHK,4000,4,325
Hebbal,4 BHK,3900,4,410
Old Madras Road,2 BHK,1300,2,100
Raja Rajeshwari Nagar,2 BHK,1419,2,60.42
Punappa Layout,3 BHK,1310,2,55
Thigalarapalya,3 BHK,2072,4,152
Kaggadasapura,2 BHK,1240,2,58.58
Chamrajpet,3 BHK,1565,3,98.91
Budigere,3 BHK,1820,3,89
Gubbalala,3 Bedroom,2500,3,88
KR Puram,5 Bedroom,3657,5,310
Hosa Road,2 BHK,1245,2,62
GM Palaya,3 BHK,1315,3,65
Kenchenahalli,3 BHK,1410,2,73
Dasarahalli,2 BHK,1375,2,60
Old Madras Road,2 BHK,1299,2,95
Pampa Extension,2 BHK,993,2,45.5
Bommasandra Industrial Area,2 Bedroom,1200,3,45
Lavelle Road,2 BHK,985,2,156
4th Block Koramangala,4 Bedroom,2400,5,180
Hebbal,3 BHK,1255,2,95
Hoodi,3 BHK,1655,3,131
Whitefield,4 BHK,2830,5,190
 Sector 1 HSR Layout,1 BHK,6000,1,276
Electronic City,2 BHK,550,1,15
Balaji Gardens Layout,1 BHK,825,2,40
Begur Road,3 BHK,1634,3,111
Kogilu,8 Bedroom,1200,6,105
Banaswadi,2 BHK,1222,2,80
Gottigere,3 BHK,1500,3,63
Akshaya Nagar,3 BHK,1890,4,100
Hegde Nagar,4 Bedroom,3750,6,375
Hulimavu,2 BHK,850,1,39.5
Whitefield,2 BHK,1295,2,78.5
Sarjapur  Road,2 BHK,1320,2,100
ISRO Layout,4 Bedroom,950,3,179
Hebbal,4 Bedroom,1200,4,225
2nd Stage Nagarbhavi,4 Bedroom,3000,3,170
Harlur,2 BHK,1197,2,82
Hoysalanagar,3 BHK,1320,2,60
Billekahalli,5 Bedroom,1180,5,98.5
Whitefield,1 BHK,840,1,57.6
Whitefield,1 BHK,540 - 740,1,19.83
Raja Rajeshwari Nagar,3 BHK,1693,3,71.38
Kodihalli,2 BHK,1000,2,62
Babusapalaya,2 BHK,1305,2,70
Kodichikkanahalli,1 BHK,450,1,18
CV Raman Nagar,1 BHK,705,1,57
Ilyas Nagar,4 BHK,750,6,75
Tumkur Road,5 Bedroom,4800,5,150
Koramangala Industrial Layout,4 Bedroom,5000,5,600
Gubbalala,4 Bedroom,5000,4,425
Whitefield,3 BHK,1991,3,104
Battarahalli,3 BHK,1779,3,90
Whitefield,4 Bedroom,10200,4,1250
Banaswadi,2 BHK,870,2,38
Thanisandra,3 BHK,1595,3,120
Kanakpura Road,1 BHK,525,1,26
Ramamurthy Nagar,4 Bedroom,945,5,120
Basaveswarnagar,6 Bedroom,2400,4,420
Iblur Village,3 BHK,2000,4,138
Yelahanka,3 BHK,1614,3,93
Gottigere,2 BHK,1200,2,40
Electronic City Phase II,3 BHK,1150,3,46
Indira Nagar,4 BHK,3200,4,440
Sonnenahalli,3 BHK,1610,3,80.48
Whitefield,2 BHK,1190,2,41
Kallumantapa,2 BHK,1050,2,50
Vaishnavi Layout,4 Bedroom,4800,5,420
7th Phase JP Nagar,3 BHK,1460,2,97
Jaymahal Road,3 BHK,3400,3,400
Naganathapura,1 Bedroom,600,1,33
Suraksha Nagar,3 BHK,1569,3,70
"Off Sarjapur Road, ",3 Bedroom,2600,3,147
Electronics City Phase 1,1 BHK,645,1,42.5
Nagarbhavi Garden Villas Layout,4 Bedroom,1200,3,180
Nagarbhavi,3 Bedroom,800,3,95
Mico Layout,2 Bedroom,800,2,80
Marathahalli,2 BHK,1350,2,90
BTM 2nd Stage,3 BHK,2780,4,325
Rajarajeshwari Nagara,3 BHK,1410,2,45.12
Whitefield,2 BHK,1109,2,35.47
Vasanth nagar,4 BHK,2000,3,1063
Agrahara Dasarahalli,1 BHK,800,1,72
Bannerghatta Road,2 BHK,1215,2,68
Basaveshwara Nagar,8 Bedroom,1230,6,250
Prithvi Layout,3 Bedroom,2273,4,192
Varthur Road,2 BHK,1255,2,52.76
B Narayanapura,2 BHK,1020,2,49
T R Mill Road,3 BHK,1225,2,82
Singasandra,2 BHK,1120,2,60
Victoria Layout,5 Bedroom,2400,5,625
Kasavanhalli,3 BHK,1225,2,69
Whitefield,4 Bedroom,5200,5,242
Indira Nagar,4 BHK,4000,4,700
Sarjapur  Road,3 BHK,1984,4,145
Old Madras Road,3 BHK,2425,3,197
ITPL,3 Bedroom,1200,3,56.12
Bommasandra,2 BHK,1127,2,45
Whitefield,3 BHK,1655,3,97
Ananth Nagar,1 BHK,500,1,14
Varthur,3 Bedroom,1200,3,68.38
Kaggadasapura,2 BHK,1000,2,43
CV Raman Nagar,2 BHK,1225,2,47.88
Hormavu,2 BHK,1350,2,45
Nagarbhavi,4 Bedroom,600,5,95
Sahakara Nagar,2 BHK,1175,2,49
Sanne Amanikere,1 BHK,655,1,27
Hosa Road,3 BHK,1311,2,84.86
Banashankari Stage VI,3 Bedroom,600,4,90
CV Raman Nagar,2 BHK,1000,2,38.5
Indira Nagar Stage 2,2 BHK,1196,2,96
Kanakpura Road,3 BHK,1050,2,59
Somasundara Palya,3 BHK,1275,2,52
Hommadevanahalli,2 BHK,927,2,50
Varthur,3 BHK,1520,2,61
BTM Layout 2nd Stage 1st Phase,4 Bedroom,2400,5,395
Hebbal,2 BHK,1333,2,104
Tunganagara,1 BHK,600,1,18
Abbigere,3 BHK,1326,2,34.8
Sarjapur  Road,3 BHK,1618 - 1929,,85.125
Koramangala,2 BHK,1370,2,125
Koramangala,2 BHK,1100,2,85
Haralur Road,3 BHK,1650,3,100
Kasavanhalli,3 BHK,1917,3,132
Doddakannelli,3 BHK,780,3,75
Billekahalli,2 BHK,950,2,58.11
T C Palya main Road,2 BHK,1175,2,48.72
8th Phase JP Nagar,2 BHK,1089,2,43.55
Kalena Agrahara,3 BHK,1804,3,175
Hoodi,2 BHK,1257,2,68.5
Sarjapur,1 BHK,650,1,19.87
Whitefield,3 BHK,1850,3,150
Vishwapriya Nagar,4 Bedroom,2800,4,200
Vidyaranyapura,2 BHK,945,2,40
Koramangala,2 BHK,1161,2,63.85
Banashankari Stage V,3 BHK,1630,3,51.35
Jalahalli,3 BHK,1310,2,60
Lake City,2 BHK,750,2,28
Whitefield,3 Bedroom,1200,3,67.77
Vittal Nagar,2 BHK,1000,2,45
Old Madras Road,4 Bedroom,4000,4,225
Nagavara,2 BHK,1315,2,70
Sahakara Nagar,3 BHK,1370,2,90
Ulsoor,5 Bedroom,1200,4,150
Bellandur,2 BHK,1465,3,90
JP Nagar,3 BHK,20000,3,175
Electronic City,2 BHK,1128,2,64
Padmanabhanagar,3 BHK,1250,2,70
Hebbal,3 BHK,1645,3,117
Horamavu Agara,3 BHK,1284,2,75
Hebbal,3 BHK,2600,3,199
Kodigehalli,3 BHK,1820,3,150
Haralur Road,3 BHK,1580,3,73
Akshaya Nagar,3 Bedroom,2650,3,125
Bannerghatta Road,2 BHK,1215,2,68
Uttarahalli,2 BHK,1075,2,40
R.T. Nagar,3 BHK,1400,2,78
Subramanyapura,3 BHK,1400,2,55
Bisuvanahalli,2 BHK,845,2,30
Hegde Nagar,4 BHK,2600,4,40
Sarjapur,4 Bedroom,3508 - 4201,6,385.5
Richards Town,2 BHK,800,2,85
Panathur,2 BHK,1199,2,85
Gunjur,2 BHK,1175,2,43.48
Sahakara Nagar,3 Bedroom,2400,3,270
Bellandur,3 BHK,1767,3,109
Sarjapur  Road,4 BHK,1800,3,90
Talaghattapura,3 BHK,1856,3,135
R.T. Nagar,3 Bedroom,1200,3,140
Rajaji Nagar,3 BHK,1613,3,150
Jakkur,4 BHK,6830,5,795
Whitefield,2 BHK,1290,2,90
Kasavanhalli,2 BHK,1375,2,78
Bagalur,2 BHK,985,2,57
Jeevan bima nagar,4 Bedroom,1200,4,200
Singasandra,2 BHK,1099,2,37.5
Electronic City,1 BHK,605,1,13.31
1 Immadihalli,11 BHK,6000,12,150
RMV Extension Stage 2,7 Bedroom,3600,7,160
Marathahalli,2 BHK,1200,2,53
Hulimavu,2 BHK,1000,2,45
Electronic City,3 BHK,1159,2,38
Sarjapur  Road,5 BHK,3692,5,340
Devi Nagar,2 Bedroom,600,2,80
4th Block Koramangala,4 Bedroom,2400,4,600
BTM Layout,3 BHK,1540,2,78
"JP Nagar 7th Phase, ",3 BHK,1503,2,93
Ambedkar Nagar,3 BHK,1850,4,120
Uttarahalli,3 BHK,1580,3,60
Mico Layout,2 BHK,1190,2,39.25
Sampigehalli,2 Bedroom,1200,2,61
HAL 2nd Stage,7 Bedroom,1000,7,250
Jakkur,2 BHK,850,1,19.9
Domlur,3 BHK,2180,3,285
Hennur Bande,3 BHK,2500,2,60
ITPL,3 Bedroom,1200,3,56.12
Kamakshipalya,3 BHK,1500,2,52
Navodaya Nagar,5 Bedroom,1200,3,180
Thanisandra,3 BHK,1880,3,120
Padmanabhanagar,2 BHK,1150,2,45
Kasavanhalli,4 Bedroom,4408,4,344
Bellandur,2 BHK,924,2,35.11
Sarjapur  Road,5 BHK,7800,6,385
Kumaraswami Layout,6 Bedroom,600,6,100
Pattanagere,4 Bedroom,750,4,95
Karuna Nagar,3 Bedroom,1962,3,175
2nd Stage Nagarbhavi,5 Bedroom,1200,4,240
B Narayanapura,3 BHK,1765,3,77.27
Attibele,2 BHK,1174,2,29.35
Bannerghatta Road,3 BHK,1894,3,115
Ramamurthy Nagar,4 Bedroom,960,2,138
Sector 7 HSR Layout,3 BHK,1760,3,142
Doddanakundi Industrial Area 2,3 BHK,1768,3,95
Kothanur,3 BHK,1790,3,97
Kumara Park,4 Bedroom,3500,5,800
Whitefield,2 Bedroom,1200,2,45
Kengeri,4 Bedroom,2540,4,160
Mahadevpura,2 BHK,1137,2,53.4
Jakkur,4 BHK,2249.81 - 4112.19,,229
Guni Agrahara,7 Bedroom,1200,6,115
Mysore Road,3 BHK,1568,2,100
Devanahalli,4 Bedroom,4900 - 4940,4,393.5
AECS Layout,2 BHK,1308,2,60
Shankarapuram,4 BHK,3060,4,350
Bisuvanahalli,3 BHK,1200,2,41
Shetty Halli,1 BHK,800,1,32
Electronic City,1 BHK,530,1,13.5
Bisuvanahalli,3 BHK,873,2,40
AGB Layout,7 Bedroom,3000,6,145
2nd Stage Arekere Mico Layout,4 Bedroom,1200,4,235
Subramanyapura,2 BHK,958,2,33.53
Thigalarapalya,3 BHK,2072,4,160
Talaghattapura,3 BHK,2273,3,159
Banashankari Stage VI,3 Bedroom,600,3,90
Thanisandra,1 BHK,760,1,50
Dommasandra,2 BHK,1090,2,43.5
Thigalarapalya,3 BHK,2072,4,155
Bellandur,3 BHK,2666,3,230
Sarjapur  Road,3 BHK,1550,2,89
Ramagondanahalli,2 BHK,1251,2,50
Electronic City,2 BHK,1070,2,53
Kalena Agrahara,2 BHK,1200,2,45
CV Raman Nagar,3 BHK,1435,2,60
Bommasandra,3 BHK,1400,2,45
Judicial Layout,4 BHK,2330,3,94.71
Thanisandra,2 BHK,1200,2,60
Panathur,2 BHK,1000,2,40
Bannerghatta Road,3 BHK,1655,2,62.89
Raja Rajeshwari Nagar,9 Bedroom,3600,9,240
Bidrahalli,1 Bedroom,600,1,35
Electronics City Phase 1,2 BHK,1175,2,50
Uttarahalli,2 BHK,1155,2,40.43
Magadi Road,3 Bedroom,1200,3,98
Budigere,2 BHK,1149,2,65
Jakkur,3 BHK,1610 - 1880,,98.485
Choodasandra,4 Bedroom,3200,4,375
Chinnapanahalli,2 BHK,1010,2,55
Hegde Nagar,3 BHK,1718,3,119
Bilal Nagar,2 BHK,650,1,20
Banashankari,2 BHK,1330,2,77
Hormavu,2 BHK,1200,2,68
Bannerghatta Road,3 BHK,1693,3,89
Koramangala,2 BHK,1249,2,165
Thanisandra,3 BHK,1800,4,125
Margondanahalli,2 Bedroom,900,2,55
NGR Layout,2 BHK,1020,2,46
Amruthahalli,3 BHK,1700,3,77
Panathur,1 BHK,661,1,40
Bannerghatta Road,2 BHK,1280,2,60.16
Krishna Nagar,5 Bedroom,1000,4,90
Hosur Road,2 BHK,1170,2,48
Thanisandra,1 BHK,933,2,58
Sarjapur  Road,2 BHK,1150,2,44
Benson Town,4 BHK,3633,6,550
Rajaji Nagar,3 BHK,1380,3,130
Banjara Layout,2 Bedroom,1050,2,64.8
Kanakapura Main Road,2 BHK,1080,2,37.8
Harlur,2 BHK,1303,2,90
Raja Rajeshwari Nagar,2 BHK,1196,2,40.54
Nagarbhavi,5 Bedroom,2500,3,180
Sarjapur  Road,5 Bedroom,1200,4,95
Bommanahalli,3 BHK,1250,3,41
Akshaya Nagar,3 BHK,1419,2,87
Banashankari,2 BHK,1200,2,49
7th Phase JP Nagar,2 BHK,1120,2,65
Electronics City Phase 1,1 BHK,755 - 770,1,45.4
Electronics City Phase 1,2 BHK,1245,2,75
Palanahalli,4 Bedroom,3978,4,428
Channasandra,2 BHK,1093,2,34
Electronic City,2 BHK,1025,1,26.63
Hebbal,2 BHK,1345,2,97
Suryanagar,2 Bedroom,1500,2,45
Vijayanagar,2 BHK,1180,2,86
NGR Layout,2 BHK,1020,2,48.45
Nanjappa Layout,3 BHK,1800,3,85
Konanakunte,4 BHK,3621,4,511
Banagiri Nagar,3 BHK,2008,3,170
Kothannur,3 BHK,1240,2,39.85
CV Raman Nagar,2 BHK,1020,2,55
2nd Stage Arekere Mico Layout,3 BHK,2095,3,142
Gunjur,3 BHK,1362,3,62.63
Yelahanka,1 BHK,694,1,30.84
Vittasandra,2 BHK,1404,2,70
Electronic City Phase II,3 BHK,1192,2,47
Wilson Garden,8 Bedroom,1850,12,300
Mahalakshmi Layout,4 Bedroom,1050,1,35
Vittasandra,2 BHK,1259,2,67.48
Kengeri,2 BHK,1000,2,34
Rachenahalli,2 BHK,985,2,49.97
Indira Nagar,1 BHK,850,1,60
Uttarahalli,3 BHK,1650,2,50
Rajaji Nagar,5 Bedroom,2400,3,320
Sarjapur  Road,3 BHK,1900,4,180
Ambedkar Nagar,2 BHK,1367,2,86
Rajaji Nagar,3 BHK,1210,2,81
Duvasapalya,2 BHK,1190,2,48.6
Sarjapur,2 BHK,1175,2,42
R.T. Nagar,4 BHK,2800,4,400
Whitefield,2 BHK,1140,2,40
Hoskote,2 BHK,1095,2,33.6
Attibele,1 BHK,782,1,19.55
Gubbalala,3 BHK,1435,2,80
Choodasandra,2 BHK,725,2,36
BCMC Layout,3 BHK,1600,2,88
9th Phase JP Nagar,5 Bedroom,1200,5,160
Hosakerehalli,4 BHK,3205,4,300
Vishwapriya Layout,4 Bedroom,720,3,95
Nehru Nagar,3 BHK,1674,3,90
Jnanabharathi Layout,4 Bedroom,860,4,125
Haralur Road,2 BHK,1243,2,46
Kanakpura Road,3 BHK,1703,3,130
Padmanabhanagar,3 BHK,1350,3,71.55
Horamavu Agara,2 BHK,1145,2,41.21
Whitefield,2 BHK,1216,2,75
7th Phase JP Nagar,2 BHK,1100,3,60
Sarjapur  Road,4 BHK,2425,5,201
Kothanur,4 Bedroom,2700,4,175
Raja Rajeshwari Nagar,2 BHK,1196,2,40.54
Kanakpura Road,3 BHK,1600,3,90
Banashankari Stage V,3 BHK,1510,3,47.57
Hosakerehalli,4 BHK,3033,4,326
Pai Layout,2 Bedroom,780,2,72
Haralur Road,2 BHK,1194,2,47
Banashankari Stage II,2 BHK,1250,2,110
Sarjapur  Road,5 Bedroom,1480,4,169
Horamavu Agara,4 Bedroom,1250,4,100
Udaya Nagar,4 Bedroom,1350,4,160
Laggere,1 Bedroom,620,2,48
Raja Rajeshwari Nagar,3 BHK,1630,3,60.65
Hennur Road,2 BHK,1020,2,45
Hosakerehalli,3 BHK,1410,2,53.58
Bhoganhalli,2 BHK,1181.7,2,100
9th Block Jayanagar,9 Bedroom,1200,8,270
Sarjapur  Road,3 BHK,1691,3,113
KR Puram,4 Bedroom,1200,4,83
Banaswadi,2 BHK,1200,2,60
Old Airport Road,2 BHK,1050,2,50
Kathriguppe,3 BHK,1300,3,77.99
Whitefield,2 BHK,1356,2,94.84
Whitefield,2 BHK,1338,2,103
Kengeri Satellite Town Stage II,1 BHK,500,1,20
Vasantha Vallabha Nagar,3 BHK,1280,2,100
Raja Rajeshwari Nagar,3 BHK,1531,3,51.77
Church Street,4 BHK,11000,4,1600
Anekal,2 BHK,620,1,23.5
8th Phase JP Nagar,3 BHK,1605,2,65
Thanisandra,3 BHK,1917,3,110
Nagarbhavi,4 Bedroom,1200,3,340
Srinivas Colony,3 BHK,2750,3,943
Sarjapur  Road,3 BHK,1400,3,55
Thubarahalli,3 BHK,2625,3,175
Sahakara Nagar,2 BHK,1100,2,55
Hennur Road,3 BHK,2041,3,128
Sarjapur  Road,3 BHK,2070,4,160
Hebbal,3 BHK,1110,3,59
Uday Nagar,3 BHK,1650,3,110
Ambedkar Nagar,4 Bedroom,3565,4,255
Varthur Road,3 BHK,1033,2,30.47
HSR Layout,2 BHK,1142,2,65
Mathikere,3 BHK,1500,2,75
Electronic City Phase II,3 BHK,1502,3,50
Shree Ananth Nagar Layout,3 BHK,1176,2,45
Hosa Road,2 BHK,1063,2,32.8
Kammanahalli,2 BHK,1100,2,60
Kamakshipalya,2 Bedroom,1044,2,85
Sarjapur  Road,3 Bedroom,5400,3,700
6th Phase JP Nagar,2 BHK,1216,2,60
Suddaguntepalya,3 BHK,1425,3,55
Hongasandra,8 Bedroom,1200,8,150
Hosur Road,2 BHK,1345,2,108
Marathahalli,2 BHK,1248,2,130
Chaitanya Ananya,4 Bedroom,1830,4,325
Shankarapuram,2 BHK,900,1,130
Bellandur,4 Bedroom,3600,4,245
Uttarahalli,2 BHK,1025,2,35.88
Nagashetty Halli,2 Bedroom,840,1,99
Lakshminarayana Pura,3 BHK,3050,2,90
Kadubeesanahalli,3 BHK,1424,2,75
EPIP Zone,3 BHK,2500,3,268
ISRO Layout,6 Bedroom,1200,6,230
Byrasandra Extension,2 BHK,1285,2,45
Babusapalaya,2 BHK,1450,2,55.99
Raja Rajeshwari Nagar,2 BHK,1160,2,70
Yelahanka New Town,3 Bedroom,2700,3,350
Gattahalli,3 Bedroom,2000,2,95
Uttarahalli,2 BHK,1125,2,47.65
Old Madras Road,4 Bedroom,3900,4,175
Raja Rajeshwari Nagar,2 BHK,1133,2,38.37
Arekere,2 BHK,1240,2,60
Devanahalli,3 BHK,1466,3,77.59
Outer Ring Road East,4 BHK,3870,4,411
Ramagondanahalli,3 BHK,1610,2,115
Sarjapur  Road,3 BHK,1220,3,56
Kaggadasapura,2 BHK,1225,2,48
Akshaya Nagar,2 BHK,1300,2,54
Thanisandra,3 BHK,1996,4,123
Mallathahalli,3 BHK,1320,2,55
Rajaji Nagar,3 BHK,1800,3,240
Richmond Town,3 BHK,1835,3,175
Sarjapur  Road,3 BHK,1435,3,90
Whitefield,3 BHK,4097,3,400
Rayasandra,3 BHK,1601,3,70
Kadubeesanahalli,2 BHK,1257,2,93
Iblur Village,4 BHK,3596,5,260
Kasavanhalli,2 BHK,1309,2,95
Yeshwanthpur,2 Bedroom,1362,2,100
Whitefield,2 BHK,1115,2,55
Whitefield,3 BHK,1870,3,90
manyata park,2 BHK,1322,2,61.99
Telecom Layout,3 BHK,1450,2,65
Banashankari,2 BHK,1185,2,67
7th Phase JP Nagar,3 BHK,1790,3,120
Whitefield,3 Bedroom,3450,4,208
Rachenahalli,2 BHK,1050,2,52.5
Budigere,1 BHK,664 - 722,1,27.375
Sarjapur  Road,4 Bedroom,5400,4,750
Devanahalli,1 BHK,775,1,39
Hoodi,2 BHK,1000,2,48
Thanisandra,2 BHK,1183,2,77.25
Binny Pete,3 BHK,1282,3,178
Alur,1 BHK,425,1,15
Nelamangala,2 BHK,820,2,30
Richmond Town,4 BHK,2230,4,792
Hebbal,2 BHK,1200,2,52
Ramagondanahalli,2 BHK,1151,2,43.6
Hulimavu,3 BHK,1320,2,59
Bikasipura,3 BHK,1450,3,68
Poorna Pragna Layout,3 BHK,1270,2,50.79
Hegde Nagar,3 BHK,1847,3,123
Devanahalli,1 BHK,1020,2,49.87
Somasundara Palya,3 BHK,1650,3,95
Richmond Town,4 BHK,2380,4,242
Electronic City,3 BHK,2400,2,78
Begur Road,2 BHK,1160,2,44
Haralur Road,4 BHK,2805,4,154
Mysore Road,3 BHK,1360,3,47.6
Brookefield,2 BHK,1089,2,49
Yelahanka,2 BHK,1115,2,60
Kudlu Gate,2 BHK,1215,2,45
Sarjapur  Road,2 BHK,1194,2,51
Kannamangala,3 BHK,1536,3,104
Hennur,2 BHK,1255,2,55.5
Electronic City,3 BHK,1571,3,83
Virupakshapura,2 Bedroom,900,1,70
Keshava Nagar,2 BHK,1517,2,125
Budigere,1 BHK,664,1,35.4
 Devarachikkanahalli,2 BHK,1230,2,58
Hegde Nagar,2 BHK,1340,2,72
Attibele,2 BHK,1175,2,29.38
Benson Town,4 Bedroom,3569,4,600
Sarjapur,2 BHK,1240,2,43.1
V.V Puram,3 BHK,151.11Sq. Yards,2,150
Electronic City,3 BHK,1470,2,44.1
Kanakpura Road,1 BHK,525,,29.25
7th Phase JP Nagar,3 BHK,1680,3,117
Sri Sai Layout,2 BHK,1000,2,35
Gunjur,2 BHK,1071,2,51
Sector 2 HSR Layout,3 BHK,1512,3,80
Frazer Town,4 BHK,3435,2,341
Thanisandra main road,3 BHK,3144,3,455
Kalyan nagar,2 BHK,1190,2,60
Pattandur Agrahara,3 BHK,1550,2,80
Kanakpura Road,2 BHK,1283,2,63.22
Mallasandra,2 BHK,1325,2,73
Whitefield,2 BHK,1105,2,35.36
Banaswadi,3 BHK,1600,3,74.5
Devara Jeevanahalli,4 Bedroom,400,2,35
Kanakpura Road,2 BHK,700 - 900,,41.145
Hennur,2 BHK,1100,2,44.55
Talaghattapura,3 BHK,2099,3,147
Yelachenahalli,3 BHK,1365,2,72
Hebbal Kempapura,2 BHK,1485,3,132
Hosur Road,2 BHK,1250,2,55
Chikkalasandra,3 BHK,1290,2,56.12
Bellandur,2 BHK,1170,2,46.79
Kanakpura Road,2 BHK,1328,2,91.06
Hennur Road,2 BHK,1232,2,87
1st Phase JP Nagar,2 BHK,1180,2,88.5
Electronic City,3 BHK,1350,3,66
Nagawara Junction,4 BHK,3602,4,280
Nagasandra,4 BHK,2400,4,145
Electronic City Phase II,2 BHK,1020,2,32
Begur Road,3 BHK,1410,2,49.34
Vishwanatha Nagenahalli,3 BHK,2159,3,120
Anekal,,1453,,16.5
TC Palaya,3 BHK,1200,2,66
Hennur,2 BHK,1255,2,57.5
Whitefield,2 BHK,1074,2,42.79
Suragajakkanahalli,3 Bedroom,1200,3,72
Sarjapur,3 BHK,1170,2,35.41
Tumkur Road,1 BHK,596 - 861,1,31.315
Bommanahalli,3 BHK,1660,2,100
Gattigere,5 Bedroom,900,6,95
SK Garden,6 Bedroom,1850,3,175
Gowdanapalya,1 Bedroom,510,1,34
Mahadevpura,3 BHK,1601,3,95
Begur Road,2 BHK,952,2,42
PNS Layout,2 BHK,1166,2,65
Venkatapura,3 BHK,2700,2,260
Electronic City Phase II,4 Bedroom,1900,3,97
Mathikere,3 Bedroom,1350,2,175
Haralur Road,3 BHK,1520,2,96
Harsha Layout,4 Bedroom,2100,6,100
Yelenahalli,2 BHK,1175,2,50
Bharathi Nagar,2 BHK,1432,2,68
Bommasandra Industrial Area,2 BHK,1005,2,39.77
Rajiv Nagar,2 BHK,1309,2,80
Dairy Circle,3 BHK,2251,4,370
7th Phase JP Nagar,2 BHK,1050,2,77
Kanakpura Road,3 BHK,1100,3,53
Sanjay nagar,3 Bedroom,2400,3,310
Begur Road,3 BHK,1565,2,56.34
1st Stage Indira Nagar,2 BHK,940,2,56
Yarandahalli,2 BHK,1015,2,40.1
BTM 2nd Stage,3 Bedroom,2400,2,360
Electronic City,3 BHK,1652,3,110
Whitefield,2 BHK,1100,2,52
Rajiv Nagar,4 BHK,2340,4,145
Koramangala,2 BHK,1084,2,179
Kammanahalli,2 Bedroom,1200,1,81
Kacharakanahalli,3 BHK,1400,3,69
HBR Layout,4 Bedroom,2400,5,320
Electronic City Phase II,2 BHK,1020,2,27.43
Whitefield,2 BHK,1267,2,90.33
Bhoganhalli,4 BHK,2439,4,185
Ashwath Nagar,3 BHK,1645,3,95
Sahakara Nagar,3 BHK,1100,2,75
Electronic City,3 BHK,1320,2,38.12
Ananth Nagar,2 BHK,1000,2,29.7
Whitefield,4 Bedroom,5000,5,550
KR Puram,6 Bedroom,2500,6,58
Kengeri Satellite Town,2 Bedroom,2480,2,160
Kalyan nagar,2 BHK,1086,2,44.5
Kengeri,1 BHK,416,1,18
Hennur Road,2 BHK,1066,2,52.23
OMBR Layout,3 BHK,1730,3,93
Balagere,2 BHK,1205,2,63.86
Marathahalli,4 BHK,2500,5,175
Subramanyapura,2 BHK,960,2,55
Haralur Road,3 BHK,1510,3,83.05
Kanaka Nagar,4 Bedroom,1600,4,90
Old Madras Road,3 Bedroom,2300,3,142
Jakkasandra Extension,2 BHK,1000,2,63
Poorna Pragna Layout,2 BHK,1160,2,46.39
Hormavu,3 BHK,1553,2,58.23
Frazer Town,4 BHK,3436,5,345
Seegehalli,2 BHK,1134,2,45
Nagasandra,4 Bedroom,600,4,80
Horamavu Agara,5 Bedroom,2400,3,80
Whitefield,4 Bedroom,2400,4,143
Nagashetty Halli,2 BHK,1350,2,65
Sarjapur,2 BHK,1032,2,42
Tigalarpalya,3 BHK,1998,3,117
Murugeshpalya,2 BHK,1225,2,48
Sarjapur  Road,2 BHK,1262,2,67
Badavala Nagar,3 BHK,1842,3,115
Thomas Town,2 BHK,1300,2,60
Kothannur,2 BHK,1070,2,38.6
"Electronic city Phase 1, ",2 BHK,950,2,33
Balagere,2 BHK,1012,2,53.58
TC Palaya,2 Bedroom,1000,2,70
Kadugodi,2 BHK,1394,2,56
Amruthahalli,3 BHK,1450,2,85
 Banaswadi,1 RK,527,1,35
